loc,status,year,sex,collect,spend,cost,avg,country1,country2,type1,type2,type3
上海,346,2014,,401,2314,7700,1.5,美国,中国大陆,剧情,喜剧,爱情
上海,175,2010,M,49,155,1820,0.1,中国大陆,美国,剧情,喜剧,犯罪
上海,2997,2017,U,5,,,,,,,,
杭州,492,2008,,379,864,4830,0.7,美国,中国大陆,剧情,爱情,喜剧
无锡,55,2011,,306,866,5040,0.8,美国,中国大陆,剧情,爱情,喜剧
上海,3515,2007,,1724,4615,14770,2.8,美国,英国,剧情,动作,惊悚
,,,,,,,,,,,,
北京,78,2015,,107,301,560,0.6,美国,英国,剧情,爱情,喜剧
广州,2137,2007,F,182,1372,3290,0.3,美国,日本,剧情,动画,爱情
广州,652,2009,U,1654,5654,20860,3.1,美国,中国大陆,剧情,喜剧,爱情
,,,,,,,,,,,,
成都,111,2014,,7,,,,,,,,
Waterloo,1,2010,M,733,3866,8540,1.6,美国,中国大陆,剧情,喜剧,爱情
南京,2666,2017,U,865,3017,17640,7.3,美国,中国大陆,剧情,喜剧,动画
,,,,,,,,,,,,
大连,916,2010,F,581,2682,5250,1.3,日本,中国大陆,剧情,爱情,喜剧
杭州,2451,2008,M,343,1161,7350,0.6,美国,中国大陆,剧情,动作,喜剧
厦门,526,2012,,66,629,140,0.2,韩国,美国,剧情,爱情,喜剧
,1977,2017,,0,,,,,,,,
上海,129,2018,M,49,109,1890,1.3,美国,中国大陆,剧情,动作,喜剧
上海,25,2017,,3,,,,,,,,
西安,4427,2016,F,224,1444,5810,1.5,中国大陆,美国,剧情,爱情,喜剧
上海,2313,2012,,293,899,3850,0.8,美国,日本,剧情,动作,喜剧
,144,2015,U,7,,,,,,,,
,,,,,,,,,,,,
Chicago,1817,2006,,538,1168,6650,0.8,美国,中国大陆,剧情,爱情,喜剧
深圳,95,2013,F,766,3304,8960,2.6,美国,日本,剧情,喜剧,爱情
苏州,1560,2017,U,159,827,2030,1.3,日本,美国,剧情,动画,喜剧
南京,301,2014,F,78,355,1680,0.3,中国大陆,美国,剧情,爱情,喜剧
Praha,945,2014,U,392,996,7140,1.5,美国,中国大陆,剧情,爱情,喜剧
,69,2015,M,830,2351,18900,4.5,美国,中国大陆,剧情,爱情,喜剧
珠海,346,2014,M,233,759,5110,0.9,美国,中国大陆,剧情,动作,喜剧
重庆,292,2014,,113,446,1470,0.4,美国,日本,剧情,爱情,喜剧
香港,815,2011,F,80,195,1400,0.2,美国,中国大陆,剧情,爱情,喜剧
拉萨,385,2010,,1,,,,,,,,
Melbourne,166,2018,,182,1211,2310,2.7,美国,韩国,剧情,爱情,喜剧
广州,2779,2011,U,381,830,5460,0.9,美国,英国,剧情,喜剧,爱情
Minneapolis,317,2011,,287,1168,3920,0.7,中国大陆,美国,剧情,爱情,动画
北京,1129,2016,,159,896,4130,1.0,美国,中国大陆,动作,科幻,剧情
武汉,547,2013,F,639,2100,12810,1.9,韩国,美国,剧情,爱情,喜剧
Columbus,1507,2011,F,441,2007,3640,1.1,美国,英国,剧情,爱情,喜剧
北京,15763,2009,F,912,5984,16590,1.8,美国,中国大陆,剧情,动作,爱情
,0,2018,,0,,,,,,,,
上海,25,2010,,23,61,770,0.1,美国,中国大陆,科幻,剧情,喜剧
P'yŏngyang,16171,2009,,352,2017,1960,0.7,美国,日本,剧情,动作,动画
杭州,307,2006,,425,991,3220,0.7,美国,香港,剧情,爱情,喜剧
北京,1374,2010,U,108,345,840,0.2,日本,美国,剧情,爱情,喜剧
广州,2452,2012,,705,2530,13790,1.8,美国,中国大陆,剧情,动作,喜剧
济南,414,2015,F,94,1420,2310,0.5,中国大陆,美国,剧情,爱情,喜剧
宁波,28,2011,,77,164,1680,0.2,美国,中国大陆,剧情,爱情,喜剧
北京,4113,2016,F,830,2182,9520,4.6,美国,中国大陆,剧情,喜剧,爱情
Kābol,3684,2011,F,379,1758,4550,0.9,美国,中国大陆,剧情,动作,爱情
成都,1158,2018,,7,,,,,,,,
,2524,2006,U,2996,7592,23310,4.4,美国,中国大陆,剧情,喜剧,动作
,491,2014,U,4,,,,,,,,
杭州,22,2017,M,847,3900,5460,9.2,美国,法国,剧情,爱情,喜剧
深圳,586,2010,,3,,,,,,,,
,,,,,,,,,,,,
上海,1375,2014,,14,30,70,0.1,美国,日本,喜剧,剧情,科幻
上海,39,2015,M,2,,,,,,,,
深圳,174,2010,F,47,389,280,0.1,美国,日本,剧情,悬疑,犯罪
,,,,,,,,,,,,
西安,365,2017,F,14,29,420,0.3,美国,英国,剧情,动作,科幻
杭州,588,2007,,225,466,1890,0.4,香港,中国大陆,喜剧,剧情,爱情
中山,2278,2011,M,72,327,1400,0.2,美国,香港,动作,剧情,犯罪
成都,1847,2007,F,1183,3104,9310,1.9,美国,香港,剧情,动作,喜剧
上海,288,2010,,487,1450,8120,1.1,美国,中国大陆,剧情,喜剧,动作
