360,上海,11686,2008,M,764,3615,8260,1.3,318,16140,80271,2.4
129,上海,12324,2011,,2938,12572,18200,7.0,911,51921,397637,11.3
401,San Francisco Bay Area,2958,2008,M,457,1381,4900,0.8,413,14385,141802,4.3
5,北京,393,2016,,62,297,1470,0.5,126,6012,45007,4.1
31,北京,618,2015,F,464,1378,13930,2.0,15,547,4124,0.3
5,石家庄,405,2016,U,147,369,2380,1.1,10,458,2757,0.3
302,杭州,3473,2009,F,2898,15981,18340,5.6,301,10291,91404,2.5
30,重庆,864,2012,,82,555,350,0.2,11,370,2564,0.2
24,北京,1015,2010,M,794,3470,10500,1.7,46,1999,15708,0.4
178,郑州,2251,2010,M,217,610,910,0.6,9,,,
124,成都,1742,2008,M,896,2209,11550,1.5,93,4167,26127,1.2
9,杭州,596,2011,U,60,238,630,0.1,17,417,4510,0.2
123,杭州,1373,2011,,197,542,2450,0.5,49,1758,14680,0.6
20,宁波,350,2015,M,0,,,,0,,,
164,深圳,4831,2010,M,514,2036,7980,1.1,707,23143,214655,6.6
6,日照,295,2011,M,45,243,1400,0.1,14,875,5576,0.2
25,上海,1756,2009,,385,1410,7560,0.8,134,4976,43058,1.2
58,,3127,2009,,154,549,350,0.3,47,2163,22236,0.7
545,香港,9614,2009,U,755,2059,6090,1.4,607,26730,185704,5.0
158,San Francisco Bay Area,2603,2007,,46,161,490,0.1,73,3069,21348,0.5
2,沈阳,1158,2015,F,267,2078,4830,1.4,4,,,
589,成都,614,2009,M,245,741,6160,0.5,59,1660,18917,0.5
41,福州,459,2015,F,20,38,280,0.1,0,,,
,,,,,,,,,,,,
9,上海,382,2013,,210,790,6090,0.7,81,3609,27148,1.1
9,,1347,2010,,529,1235,3290,1.1,83,3152,31804,0.8
36,洛阳,958,2016,M,9,,,,3,,,
57,北京,41,2011,M,193,1248,4550,0.5,39,1410,12366,0.4
140,北京,984,2009,M,224,899,1400,0.5,18,772,7123,0.2
246,上海,3115,2011,F,1433,5677,11830,3.7,331,16893,96387,3.8
116,杭州,3323,2007,F,265,1072,1610,0.4,106,2988,33342,0.7
68,北京,1371,2008,F,270,832,6020,0.5,52,2952,16852,0.4
108,上海,1293,2009,M,292,942,7630,0.5,104,3699,39587,1.0
80,宜昌,822,2015,,543,2235,770,2.5,166,6389,54821,3.5
,,,,,,,,,,,,
33,天津,474,2011,,549,1499,7420,1.3,49,2199,13707,0.5
25,晋中,2362,2013,M,20,73,700,0.1,2,,,
37,昆明,2877,2009,,430,1502,7840,0.8,128,3453,31613,2.5
6,成都,1628,2011,,1,,,,0,,,
75,上海,2255,2008,M,12,60,140,0.0,13,312,4785,0.4
19,南京,2758,2011,M,450,1553,1680,1.1,0,,,
5,南京,264,2013,F,6,,,,33,1456,14361,0.8
215,Seattle,7231,2011,,192,714,1750,0.4,141,5794,50611,1.4
10,上海,572,2018,,413,1307,7910,5.7,6,,,
67,苏州,70,2008,,10,21,210,0.0,2,,,
20,,748,2013,,729,4624,6790,2.5,242,7541,63939,3.6
4,绍兴,449,2009,,117,393,1400,0.2,63,2190,25992,0.5
16,保定,826,2012,M,0,,,,0,,,
98,澳门,10854,2010,M,110,361,280,0.3,9,,,
16,北京,52,2011,F,119,1337,1680,0.3,38,1217,10793,0.5
130,上海,2537,2010,M,525,1446,5740,1.1,501,21646,179813,4.9
80,杭州,3785,2008,F,764,4544,5740,1.3,33,844,9050,0.3
57,Auckland,2560,2015,U,266,1736,3990,1.4,209,7636,60385,4.6
164,汕头,11116,2006,M,1135,3539,1680,1.6,573,15947,163197,3.5
111,徐州,2072,2015,F,76,198,1890,0.4,167,4956,50395,3.3
23,常州,6087,2009,,44,159,980,0.1,1,,,
8,南京,1320,2012,U,347,1092,4060,1.0,45,1731,17688,0.6
69,杭州,2011,2010,U,1341,2715,11480,2.9,89,2975,23969,0.9
56,北京,1019,2009,,228,1175,4690,0.5,71,1904,23694,0.6
0,上海,628,2013,M,391,1827,4410,1.2,9,,,
10,La Paz,659,2017,M,16,89,420,0.2,4,,,
36,西安,3297,2016,U,173,830,2660,1.1,3,,,
281,上海,5784,2010,M,1787,5798,6300,4.0,392,25291,92291,4.2
24,苏州,943,2014,M,307,992,5530,1.3,30,1282,8901,0.6
6947,北京,15572,2013,M,44,312,840,0.1,165,35920,79278,2.3
799,深圳,3330,2009,M,793,1893,11970,1.6,383,14704,114890,3.2
111,北京,330,2013,M,85,288,1330,0.3,58,2923,35158,0.8
528,Ciudad de Panamá,5128,2014,F,60,298,1190,0.3,27,1086,7925,0.5
44,Waterloo,1483,2010,U,256,1093,5460,0.5,223,7609,70900,2.1
18,,1,2008,M,2045,3887,10920,3.7,184,9316,53090,1.8
184,Pittsburgh,1908,2010,,146,940,1400,0.3,122,5121,40106,1.2
,,,,,,,,,,,,
105,New York City,2072,2008,M,546,2515,3360,1.0,229,9427,80464,1.9
34,深圳,1239,2009,M,1006,4059,8470,2.0,217,8279,66773,1.9
362,Berlin,2038,2007,,583,1872,4410,0.9,973,35029,309971,6.5
1340,北京,29632,2006,,1370,4084,10640,2.1,229,10607,81720,1.5
10561,Edinburgh,10950,2008,M,1050,2292,6230,1.8,365,33341,245345,5.7
165,San Francisco Bay Area,786,2014,U,674,3356,3080,2.7,302,14908,96054,5.1
9407,Providence,6796,2008,M,404,854,6160,0.7,353,16870,114781,2.5
836,Yokohama,333,2011,,1604,5718,8610,3.8,483,85532,142318,4.9
29,北京,1962,2012,U,232,815,3640,0.7,160,6035,57558,2.0
75,Madison,654,2015,M,142,679,3850,0.7,228,12288,73718,4.7
275,上海,1797,2007,F,2004,12092,9100,3.3,799,28209,256404,5.8
18,Reykjavík,69,2015,U,694,2024,6650,3.1,72,2591,20852,1.5
724,Freetown,1790,2008,M,2370,7943,26810,4.1,801,53256,238348,6.0
26,上海,319,2011,M,44,95,2310,0.1,6,,,
1000,上海,1861,2007,,698,4075,3500,1.2,177,5403,56269,1.4
60,上海,628,2010,,76,182,700,0.2,25,714,6839,0.3
7413,上海,16768,2007,U,2010,7576,14490,3.1,2742,164016,1072520,18.1
12,上海,400,2017,U,51,181,1750,0.6,13,713,4810,0.6
9,杭州,346,2010,U,746,3454,12670,1.5,227,8812,60038,2.0
7,杭州,130,2017,F,1,,,,0,,,
7,北京,0,2014,,1,,,,1,,,
132,上海,1035,2008,,225,648,4620,0.4,304,13456,94901,2.4
29,上海,337,2012,F,431,1147,3010,1.1,145,4656,48954,1.7
20,上海,1553,2011,,403,1270,9520,1.0,747,28278,220999,7.8
353,深圳,9694,2005,M,577,1536,8330,0.8,518,19108,192267,3.0
533,,4859,2012,U,904,2085,10360,2.7,274,14548,89972,3.6
22,南京,704,2008,,277,877,2660,0.5,234,8120,99770,1.9
80,杭州,1057,2011,F,391,1341,3430,1.2,88,2945,29351,1.1
